[2026-01-20T18:16:43.654Z] Loaded regex filter from badwords.filter: /motherfuckin/i
[2026-01-20T18:16:43.655Z] Loaded regex filter from badwords.filter: /motherfucking/i
[2026-01-20T18:16:43.656Z] Loaded regex filter from badwords.filter: /motherfuckings/i
[2026-01-20T18:16:43.656Z] Loaded regex filter from badwords.filter: /motherfuckka/i
[2026-01-20T18:16:43.657Z] Loaded regex filter from badwords.filter: /motherfucks/i
[2026-01-20T18:16:43.658Z] Loaded regex filter from badwords.filter: /muff/i
[2026-01-20T18:16:43.658Z] Loaded regex filter from badwords.filter: /mutha/i
[2026-01-20T18:16:43.659Z] Loaded regex filter from badwords.filter: /muthafecker/i
[2026-01-20T18:16:43.660Z] Loaded regex filter from badwords.filter: /muthafuckker/i
[2026-01-20T18:16:43.660Z] Loaded regex filter from badwords.filter: /muther/i
[2026-01-20T18:16:43.661Z] Loaded regex filter from badwords.filter: /mutherfucker/i
[2026-01-20T18:16:43.662Z] Loaded regex filter from badwords.filter: /n1gga/i
[2026-01-20T18:16:43.662Z] Loaded regex filter from badwords.filter: /n1gger/i
[2026-01-20T18:16:43.663Z] Loaded regex filter from badwords.filter: /nazi/i
[2026-01-20T18:16:43.664Z] Loaded regex filter from badwords.filter: /nigg3r/i
[2026-01-20T18:16:43.665Z] Loaded regex filter from badwords.filter: /nigg4h/i
[2026-01-20T18:16:43.665Z] Loaded regex filter from badwords.filter: /nigga/i
[2026-01-20T18:16:43.666Z] Loaded regex filter from badwords.filter: /niggah/i
[2026-01-20T18:16:43.666Z] Loaded regex filter from badwords.filter: /niggas/i
[2026-01-20T18:16:43.667Z] Loaded regex filter from badwords.filter: /niggaz/i
[2026-01-20T18:16:43.667Z] Loaded regex filter from badwords.filter: /nigger/i
[2026-01-20T18:16:43.668Z] Loaded regex filter from badwords.filter: /niggers/i
[2026-01-20T18:16:43.668Z] Loaded regex filter from badwords.filter: /nob/i
[2026-01-20T18:16:43.668Z] Loaded regex filter from badwords.filter: /nob jokey/i
[2026-01-20T18:16:43.669Z] Loaded regex filter from badwords.filter: /nobhead/i
